timestamp,temp1,temp2,temp3,temp4,hum1,hum2,hum3,hum4,batt1,batt2,batt3,batt4
1695671076421,268,268,264,278,578,611,616,545,100,50,100,100
1695672601493,269,268,266,280,581,611,621,558,100,90,100,100
1695676084492,271,270,269,282,589,625,633,557,100,90,100,100
1695679721521,273,268,257,275,596,630,623,527,100,90,100,100
1695683324045,267,264,248,264,539,564,558,507,100,90,100,100
1695688951925,260,269,245,258,518,540,546,502,100,90,100,100
1695692630187,258,265,243,255,518,547,552,502,100,90,100,100
1695694593946,257,263,242,253,516,541,551,500,100,90,100,100
1695697795204,257,260,247,254,519,535,551,499,100,90,100,100
1695701469302,256,258,239,251,520,542,547,508,100,90,100,100
1695704925956,256,256,245,249,525,535,535,503,100,90,100,100
1695708772181,255,257,253,252,531,551,545,513,100,90,100,100
1695712137175,256,258,257,254,547,561,575,525,100,90,100,100
1695715956700,256,256,254,251,541,564,560,520,100,90,100,100
1695719387106,257,258,257,253,556,572,581,534,100,90,100,100
1695723003160,256,255,249,250,549,590,565,527,100,90,100,100
1695726491407,256,256,255,251,550,565,570,533,100,90,100,100
1695730683300,255,255,247,248,551,575,582,533,100,90,100,100
1695733993601,256,256,253,258,557,589,572,525,100,90,100,100
1695737357977,257,256,247,259,561,592,571,525,100,90,100,100
1695740997812,256,254,249,262,547,576,577,521,100,90,100,100
1695744715885,258,256,252,265,546,568,577,518,100,90,100,100
1695748110736,260,255,249,268,557,596,574,516,100,90,100,100
1695751923387,260,257,252,267,538,576,566,511,100,90,100,100
1695755256387,259,256,252,265,531,563,559,508,100,90,100,100
1695758996897,261,257,254,269,527,555,555,503,100,90,100,100
1695762502508,260,255,248,265,523,554,543,497,100,90,100,100
1695766119812,261,255,248,265,523,547,538,496,100,90,100,100
1695769714867,261,256,258,266,521,539,532,495,100,90,100,100
1695775355716,261,260,259,267,521,537,527,496,100,90,100,100
1695779034217,261,260,256,265,518,535,524,495,100,90,100,100
1695780990157,260,257,249,261,511,539,530,491,100,90,100,100
1695784203722,261,259,248,262,514,534,540,496,100,90,100,100
1695787862482,261,259,250,263,518,528,538,502,100,90,100,100
1695791317751,260,259,252,262,514,531,545,501,100,90,100,100
1695795171217,260,258,247,259,520,549,573,505,100,90,100,100
1695798532728,260,259,252,262,520,545,565,509,100,90,100,100
1695802350362,261,258,250,264,531,558,590,514,100,90,100,100
1695805788085,261,259,251,261,529,554,571,512,100,90,100,100
1695809398919,261,261,250,264,534,576,595,517,100,90,100,100
1695812871859,260,260,250,261,527,559,581,513,100,90,100,100
1695817071333,262,260,253,263,539,589,600,522,100,90,100,100
1695820360955,262,259,248,281,535,585,609,494,100,90,100,100
1695823754168,263,261,253,274,539,580,596,513,100,90,100,100
1695827420991,264,260,257,272,546,582,591,515,100,90,100,100
1695831126587,263,261,253,267,540,582,592,512,100,90,100,100
1695834526396,264,262,260,273,539,585,583,519,100,90,100,100
1695838331117,269,265,266,281,564,616,611,534,100,90,100,100
1695841650821,267,266,250,269,566,609,570,537,100,90,100,100
1695845394978,265,264,251,268,528,566,561,502,100,90,100,100
1695848895747,264,260,247,264,522,564,554,494,100,90,100,100
1695852514400,263,260,252,267,519,550,547,493,100,90,100,100
1695856138050,263,261,253,267,522,552,551,495,100,90,100,100
1695861719076,264,266,255,266,529,561,559,499,100,90,100,100
1695865392391,267,269,260,271,560,601,608,528,100,90,100,100
1695867366809,269,270,263,274,570,614,615,544,100,90,100,100
1695870592305,269,268,250,269,555,622,629,528,100,90,100,100
1695874259879,265,265,256,264,540,572,581,514,100,90,100,100
1695877740560,264,265,259,263,538,567,561,512,100,90,100,100
1695881574162,263,263,256,262,533,571,554,510,100,90,100,100
1695884941548,264,264,262,264,547,575,564,519,100,90,100,100
1695888758508,265,260,255,267,556,586,587,522,100,90,100,100
1695892179794,264,262,260,263,549,582,563,517,100,90,100,100
1695895787330,265,262,259,266,559,600,585,525,100,90,100,100
1695899264717,263,261,258,262,547,592,569,520,100,90,100,100
1695903454296,263,258,251,262,558,598,584,522,100,90,100,100
1695906741016,262,259,257,274,557,610,574,515,100,90,100,100
1695910163672,264,260,260,272,562,613,584,519,100,90,100,100
1695913813901,263,259,255,268,556,606,580,520,100,90,100,100
1695917519015,263,262,254,266,555,608,586,523,100,90,100,100
1695920907685,263,260,253,266,555,633,597,523,100,90,100,100
1695924704791,263,259,253,265,555,611,591,521,100,90,100,100
1695928038004,262,260,252,266,547,608,594,523,100,90,100,100
1695931750426,263,260,255,267,559,608,594,523,100,90,100,100
1695935294746,264,260,254,268,563,608,593,524,100,90,100,100
1695938920343,263,268,247,264,546,588,590,517,100,90,100,100
1695942559896,261,274,245,262,541,563,578,516,100,90,100,100
1695948128372,262,275,258,261,556,558,585,517,100,90,100,100
1695951790492,261,273,255,260,560,565,581,524,100,90,100,100
1695953782832,262,273,254,261,565,574,595,525,100,90,100,100
1695956974066,261,271,253,259,558,568,595,523,100,90,100,100
1695960676644,261,270,256,260,569,582,618,538,100,90,100,100
1695964130138,257,262,245,251,548,585,568,522,100,90,100,100
1695967943429,256,260,249,251,557,577,584,527,100,90,100,100
1695971320554,254,259,249,248,552,571,578,521,100,90,100,100
1695978578987,255,257,253,250,582,600,614,550,100,90,100,100
1695982192880,252,254,247,245,566,592,593,537,100,90,100,100
1695985677751,252,254,249,246,574,597,603,546,100,90,100,100
1695989849899,252,252,249,247,592,623,620,570,100,90,100,100
1695993079836,253,253,248,264,595,626,646,556,100,90,100,100
1695996463884,253,252,248,260,598,634,654,568,100,90,100,100
1696000190125,255,253,252,260,607,647,657,575,100,90,100,100
1696003911123,257,255,255,263,614,660,663,574,100,90,100,100
1696007307805,259,257,258,266,620,670,667,580,100,90,100,100
1696011124950,262,263,262,271,627,677,668,596,100,90,100,100
1696014453657,262,261,260,271,613,652,648,573,100,90,100,100
1696018176929,266,264,264,278,630,660,661,595,100,90,100,100
1696021683375,270,267,269,283,632,673,669,591,100,90,100,100
1696025308136,266,264,250,269,583,628,597,544,100,90,100,100
1696028949889,261,260,243,260,556,602,576,526,100,90,100,100
1696034451442,260,259,250,261,560,596,586,529,100,90,100,100
1696038068061,259,258,248,260,560,594,588,532,100,90,100,100
1696040052232,260,259,250,261,564,603,597,535,100,90,100,100
1696043361400,259,257,247,259,567,612,605,541,100,90,100,100
1696047044238,260,259,252,261,575,598,620,547,100,90,100,100
1696050500839,259,259,250,259,572,596,620,545,100,90,100,100
1696054293223,260,259,252,259,585,615,641,560,100,90,100,100
1696057679889,259,260,246,257,582,630,651,559,100,90,100,100
1696061437436,259,259,250,257,587,616,643,561,100,90,100,100
1696064891286,260,259,252,258,596,631,660,572,100,90,100,100
1696068510266,260,260,253,258,602,642,668,579,100,90,100,100
1696072017419,261,260,253,258,605,646,673,582,100,90,100,100
1696076133228,261,260,254,258,607,646,673,585,100,90,100,100
1696079349679,261,260,253,258,613,645,672,594,100,90,100,100
1696082848359,262,261,254,262,617,644,675,595,100,90,100,100
1696086509903,264,262,268,262,624,649,663,615,100,90,100,100
1696090221305,266,267,272,263,625,656,629,636,100,90,100,100
1696093643523,269,267,275,266,628,661,622,636,100,90,100,100
1696097445030,269,263,269,265,581,602,597,581,100,90,100,100
1696100792283,273,270,271,272,576,584,588,578,100,90,100,100
